ORIGIN_SUBZONE,distance_bin,COUNT
1101072.0,10.0,26358.295823591463
1101072.0,11.0,25336.987019938257
1101072.0,12.0,18514.82230351013
1101072.0,13.0,12240.290485361898
1101072.0,14.0,8199.442963929849
1101072.0,15.0,6619.276937601983
1101072.0,16.0,4382.501240706755
1101072.0,17.0,3138.5976008736566
1101072.0,18.0,1755.5334464125874
1101073.0,0.0,220590.98254223904
1101073.0,1.0,197128.0971889067
1101073.0,2.0,111302.07622735345
1101073.0,3.0,83429.43545920563
1101073.0,4.0,64069.454950234416
1101073.0,5.0,63649.40284843053
1101073.0,6.0,44270.918570068054
1101073.0,7.0,65272.957702856234
1101073.0,8.0,52647.884574249285
1101073.0,9.0,38736.01264213064
1101073.0,10.0,33804.58003713287
1101073.0,11.0,31012.8637403821
1101073.0,12.0,17437.329242475767
1101073.0,13.0,21499.76012446473
1101073.0,14.0,12045.562618586491
1101073.0,15.0,12192.616303571001
1101073.0,16.0,4603.913577237164
1101073.0,17.0,1996.1310534525949
1101073.0,18.0,1386.8673888956503
1102052.0,0.0,294896.7365679301
1102052.0,1.0,352192.53066507145
1102052.0,2.0,142932.4346230358
1102052.0,3.0,142951.65503096668
1102052.0,4.0,130966.05958794737
1102052.0,5.0,123047.51219214105
1102052.0,6.0,118741.54302043348
1102052.0,7.0,110103.48984933954
1102052.0,8.0,121698.49049566519
1102052.0,9.0,113740.2550118537
1102052.0,10.0,92981.1151383073
1102052.0,11.0,81136.94834436945
1102052.0,12.0,66452.65984505443
1102052.0,13.0,45429.40397272132
1102052.0,14.0,18904.925997502745
1102052.0,15.0,22441.926532289912
1102052.0,16.0,1721.0261561939344
1102052.0,17.0,3563.012843080942
1102054.0,0.0,223815.3369157066
1102054.0,1.0,344440.62862075
1102054.0,2.0,160956.27129406406
1102054.0,3.0,175892.91576676365
1102054.0,4.0,123385.72032247685
1102054.0,5.0,114169.39411730344
1102054.0,6.0,127702.63573241883
1102054.0,7.0,131630.29702481834
1102054.0,8.0,152781.0507704709
1102054.0,9.0,102960.62147685688
1102054.0,10.0,93877.45070654247
1102054.0,11.0,74516.6484055527
1102054.0,12.0,71800.85310855642
1102054.0,13.0,46947.74772422092
1102054.0,14.0,19614.506207740258
1102054.0,15.0,16562.394836055875
1102054.0,16.0,7127.901024141437
1102055.0,0.0,157904.56429901934
1102055.0,1.0,606386.9499534315
1102055.0,2.0,242048.4466356941
1102055.0,3.0,152645.2706453326
1102055.0,4.0,153141.24014381223
1102055.0,5.0,149172.81458015437
1102055.0,6.0,150300.72391952286
1102055.0,7.0,172302.99212001942
1102055.0,8.0,161266.3280280049
1102055.0,9.0,155364.41015436433
1102055.0,10.0,116668.84312557845
1102055.0,11.0,96996.01960535409
1102055.0,12.0,66296.01976689957
1102055.0,13.0,58140.744554242716
1102055.0,14.0,35467.35279382597
1102055.0,15.0,12606.05504715932
1102055.0,16.0,8374.181468404759
1102057.0,0.0,32956.75212384995
1102057.0,1.0,260401.73534479487
1102057.0,2.0,111804.98407182394
1102057.0,3.0,70277.59633829426
1102057.0,4.0,50111.996885004795
1102057.0,5.0,36476.42736965267
1102057.0,6.0,58704.45603295748
1102057.0,7.0,56273.33045183284
1102057.0,8.0,61315.88483171683
1102057.0,9.0,38362.96394458734
1102057.0,10.0,44066.049736990804
1102057.0,11.0,32085.958655026137
1102057.0,12.0,25466.68769432271
1102057.0,13.0,20916.901249831375
1102057.0,14.0,9483.115742010317
1102057.0,15.0,2899.7952856180855
1102057.0,16.0,987.5543682732102
1102057.0,17.0,1087.720408631292
1102058.0,0.0,83206.9504437572
1102058.0,1.0,133930.47211459058
1102058.0,2.0,96582.15458085532
1102058.0,3.0,57340.10557216146
1102058.0,4.0,35747.78947347203
